timestamp,value
2016-01-01,31
2016-01-02,22
2016-01-03,26
2016-01-04,31
2016-01-05,18
2016-01-06,13
2016-01-07,14
2016-01-08,9
2016-01-09,22
2016-01-10,28
2016-01-11,27
2016-01-26,25
2016-01-27,24
2016-01-28,28
2016-01-29,27
2016-01-30,32
2016-01-31,41
2016-02-01,28
2016-02-02,35
2016-02-03,32
2016-02-04,25
2016-02-05,30
2016-02-06,35
2016-02-07,37
2016-02-08,33
2016-02-09,19
2016-02-10,27
2016-02-11,34
2016-02-12,34
2016-02-13,36
2016-02-14,31
2016-02-15,29
2016-02-16,22
2016-02-17,30
2016-02-18,34
2016-02-19,32
2016-02-20,41
2016-02-21,33
2016-02-22,35
2016-02-23,30
2016-02-24,32
2016-02-25,34
2016-02-26,37
2016-02-27,31
2016-02-28,45
2016-02-29,34
2016-03-01,36
2016-03-02,33
2016-03-03,32
2016-03-04,31
2016-03-05,29
2016-03-06,28
2016-03-07,38
2016-03-08,39
2016-03-09,47
2016-03-10,27
2016-03-11,25
2016-03-12,33
2016-03-13,34
2016-03-14,31
2016-03-15,22
2016-03-16,47
2016-03-17,41
2016-03-18,43
2016-03-19,38
2016-03-20,33
2016-03-21,36
2016-03-22,41
2016-03-23,49
2016-03-24,44
2016-03-25,33
2016-03-26,39
2016-03-27,44
2016-03-28,34
2016-03-29,45
2016-03-30,46
2016-03-31,37
2016-04-01,37
2016-04-02,38
2016-04-03,38
2016-04-04,35
2016-04-05,40
2016-04-06,39
2016-04-07,28
2016-04-08,36
2016-04-09,35
2016-04-10,32
2016-04-11,31
2016-04-12,37
2016-04-13,37
2016-04-14,46
2016-04-15,58
2016-04-16,47
2016-04-17,50
2016-04-18,50
2016-04-19,49
2016-04-20,50
2016-04-21,49
2016-04-22,37
2016-04-23,38
2016-04-24,50
2016-04-25,50
2016-04-26,45
2016-04-27,40
2016-04-28,28
2016-04-29,17
2016-04-30,32
2016-05-01,35
2016-05-02,36
2016-05-03,44
2016-05-04,38
2016-05-05,31
2016-05-06,38
2016-05-07,38
2016-05-08,40
2016-05-09,25
2016-05-10,22
2016-05-11,31
2016-05-12,34
2016-05-13,39
2016-05-14,27
2016-05-15,31
2016-05-16,41
2016-05-17,39
2016-05-18,30
2016-05-19,43
2016-05-20,49
2016-05-21,31
2016-05-22,31
2016-05-23,36
2016-05-24,49
2016-05-25,90
2016-05-26,41
2016-05-27,49
2016-05-28,50
2016-05-29,41
2016-05-30,54
2016-05-31,50
2016-06-01,49
2016-06-02,44
2016-06-03,51
2016-06-04,42
2016-06-05,33
2016-06-06,45
2016-06-07,32
2016-06-08,40
2016-06-09,47
2016-06-10,90
2016-06-11,54
2016-06-12,41
2016-06-13,36
2016-06-14,50
2016-06-15,50
2016-06-16,31
2016-06-17,45
2016-06-18,48
2016-06-19,50
